,Datetime,Text,shutonu
142,2021-05-31 16:05:58+00:00,@stuntwchris Look. And yesterday was packed as fuck. Drunk. Sweaty.,offensive
144,2021-05-31 07:30:31+00:00,Far cry 5 is so bad compared to 4 and 3 what the fuck did they do wrong,neutral
145,2020-08-17 22:35:20+00:00,"@theestallion Support a black owned business selling trendy accessories. 🥰💵🥰🥰Visit https://t.co/J9FkWSzVfy 
#Entrepreneur #Entrepreneurship #NewYork #TrendingNow #SupportSmallBusinesses #SupportBlackOwnedBusinesses #BlackOwnedBusinesses #Shopify #BlackTwitter #BLM #onlineshopping https://t.co/D5X2RPIGAu",positive
146,2021-05-15 22:01:29+00:00,@Champ999Suraj @Israel Hey toilet less people’s.  What's going on?,neutral
147,2021-05-15 14:08:51+00:00,Malaysia never fails to prove their support for Palestine !#MalaysiaStandWithPalestine ✊🏼 https://t.co/Wp3RhE8OZQ,positive
149,2021-05-17 17:27:00+00:00,"#Facebook rating is down to 2.5 already. Join us and give them what they deserve.

Go to your Apps store and rate facebook and #instagram with 1 star.

#bias #Free_Palestine #BiasedMedia #Israel
#IsraeliCrimes
#GazaUnderAttack
#PalestinianLivesMatter
#Gaza #SaveSheikhJarrahh https://t.co/smvYDulII4",neutral
150,2021-01-10 00:46:42+00:00,"My magazine features include #blackcreatives #BLM #Fashion #Community #Nonprofits #Artisans #GirlSupportGroups #Authors #Blackwomenbusinessowners #mediums #newagehealing - if you believe in the @Nue_Baltimore mission &amp; support my purpose to fulfill God’s plan, please sponsor",positive
151,2021-05-17 14:13:45+00:00,@KwikWarren Does trump still own then,neutral
152,2021-05-15 18:55:17+00:00,"Israel not doing good.

Bringing down International media Houses not so cool.

They want to hide the human sufferings of oppressed people of Palestine.

This must stop immediately.

Peace must prevail.",neutral
154,2021-05-16 10:01:57+00:00,"The Israeli military (to the right of the fence) remove the flag of Palestine and Hezbollah, installed by protesters during yesterday's rallies at the border. 

Left: The Lebanese military is watching the scene.
# Israel # Lebanon https://t.co/yh0mNWYn7d",neutral
155,2021-05-31 21:31:33+00:00,Dope as fuck! https://t.co/I4Z9ZhL0t0,offensive
156,2021-05-07 16:05:54+00:00,@MEGAMEEZY So we Talkin about a nigga that cut off all his day 1s and only got label and industry folks around? That shit gon fail anyway it don’t matter what he do cuz he flaw as hell lol,racism
157,2021-04-08 01:45:16+00:00,"@beesmygod_ Computer, today, I want to send a message. Turn on the mysogyny and turn on the n word. I don't want to be racist though so turn off that and turn off sexually explicit language, swearing, and name calling.",neutral
158,2021-05-04 18:49:16+00:00,@Himandi13 It’s so funny because feminism is y’all creation,misogyny
159,2021-05-16 00:09:15+00:00,"@ggabriel_israel First write Britains correct. Later I tell you the words of Jinnah, so ""you are (Israel) is an illegitimate child of west"".

#IsraelTerrorist 
#FreePalaestine 
#IsraelUnderFire 
#SaudiArabia",offensive
160,2021-05-06 20:19:38+00:00,"feminism leaving my body when i listen to 
https://t.co/1Io4iBxH5i",misogyny
161,2021-05-15 07:44:02+00:00,Keep attacking @IDF let #IsraelKoyak with Malaysians &amp; Indonesians. #FreePalestin #IsraelTerrorist https://t.co/n9Uc3pwhnE,neutral
163,2021-05-17 20:41:13+00:00,"Unless we give up our ethnic, racist and nationalist banners and unite under the one banner of Islam, Allah will keep humiliating us by the hands of Zionists and other enemies. 

#AqsaCallArmies #Free_Palestine #IsraelStopPlayingVictim https://t.co/1c9YtOH1Am",neutral
164,2021-05-16 00:18:07+00:00,@IDF It’s a some kind of joke? Haha 😂 lol when you know already it’s war zone they why you go out with baby 🍼 because you want create video? How many children you guys killed in 🇵🇸? I think before your baby become like you better you kill him/her your self,neutral
165,2021-04-17 18:29:00+00:00,"@sweet_cheri_pie S&amp;S knew that smoke was coming‼️
#BLM",neutral
166,2021-05-31 15:48:07+00:00,@Youngmo85219896 I’m not the only one but looks like I’m the first to say it. I meant it in no way negative because all the view is wonderful and that dick is just very eye catching.,offensive
167,2021-05-16 16:00:03+00:00,"#Palestine #Israel The war isn't with the Jews, the war is with zionists https://t.co/6nxJzKEvOm",offensive
170,2021-05-11 02:38:22+00:00,@Lanarchy_ @DONTA2x @lildurk That weird ass nigga can't take criticism. 😂😂😂,racism
171,2021-05-16 08:59:09+00:00,@Sandeepmehta075 @changu311 Sir they are asking to free Palestine and I guess Israel is going to free Palestine from #HamasTerrorists ...!!,neutral
172,2021-05-31 20:17:50+00:00,@viicarson tell ur girl i fist fuck her then i’m sorry i’m just gnarly as a bitch,offensive
173,2021-04-21 07:53:56+00:00,"What a empowerment? R such ladies not suppose to get punished? Forget about their lives but they r risking others life

#Feminism
#FeminismIsCancer

https://t.co/FBIC0vHo9T",misogyny
175,2021-05-31 05:23:45+00:00,@notmxhx the fuck is so funny,offensive
176,2020-07-12 20:12:29+00:00,#racist people made fake page in Saint Louis prosecuting attorney’s name promoting racism #blm #BlueLivesMatter #JusticeForGeorgeFloyd #JusticeforBreonnaTaylor https://t.co/Q15KxKFozJ,neutral
177,2021-04-29 21:36:11+00:00,@bleucapone like do you even watch snow fall nigga 🙄,racism
178,2021-05-18 17:39:27+00:00,"@Jewlesbianjesus @JuiceMelodies @KejeraL 5,000 dead, 15,000 injured and 17,000 detained in 1936, up from 300 in Israel
Wikipedia",neutral
181,2021-05-16 07:13:50+00:00,"@SyedSaddiq All my heartfelt prayers are with every brother and sister in Palestine who goes through an immense suffering! Pl Tc Syed brother. Do look after your self and stay blessed. Eternal prayers for peace, love, harmony! God Bless You!",positive
182,2021-04-08 18:53:56+00:00,Here this nigga go with the homosexual rigmarole https://t.co/P45ryX1N54,offensive
184,2021-05-16 11:02:10+00:00,"@Aak__Thu Don't ask Indian flag, coz Indians did not support Israel, only andhbhakt supported so ask him where is andhbhakt flag 😂😂😂",neutral
186,2021-04-18 20:02:32+00:00,"tramp stamps marketing fabricated, colorful ""punk"" aesthetics to young girls on the internet and then promoting assaulting men preaching it as feminism in their music is so nauseating 🤢",misogyny
187,2021-05-17 18:09:20+00:00,"#SupportIsrael
#IndiaStandsWithIsrael

I support israel🇮🇱.... Jai hind 🇮🇳 from india",positive
188,2021-05-12 17:52:01+00:00,yet israel still think they are the victim. lol . have you seen israeli children died or injured from bombing ? https://t.co/LSzLXIfQvM,neutral
190,2021-05-31 17:20:17+00:00,But I reject/curve the fuck outta people right quick if I now I got sum going,offensive
191,2021-05-17 11:31:31+00:00,"@IsraelMFA @IsraelinIndia @UN @FCDOGovUK @mfa_russia @Chinamission2un @MFAestonia @IndianDiplomacy @francediplo @IsraelinUN Israel is claiming that it is acting in self-defense against the Hamas rockets, Israel, as an occupying force, does not have the right to use military force in self-defense against its occupied territory.",neutral
192,2021-05-15 02:43:59+00:00,@IDF Good job #IndiaStandWithIsrael,positive
193,2021-05-11 16:55:55+00:00,"not even a single Ramzan have been peaceful for the people of Palestine. They are unsafe in their own land.

#FreePalestine #PalestinianLivesMatter #SaveSheikhJarrah https://t.co/uAdmDwCHr0",neutral
194,2021-05-12 01:11:33+00:00,"2/6 «Feminism and anti-racism had always been lumped together as ""social justice"", but for the first few years feminism was the big sister and anti-racism the tag-along little brother.»",neutral
196,2021-04-20 01:25:12+00:00,"""How many bitches wanna fuck this nigga?""",offensive
197,2021-04-25 20:53:11+00:00,"I want a nigga who sweats me, baby me, but not let me bitch him... does that make sense ?",offensive
