,index,Datetime,Text,Label,tokens,normalized_tweets,tidy_tweet,scores,compound,comp_score,neu
10,13,2021-04-29 00:24:39+00:00,niggas crazy,racism,"['niggas', 'crazy']","['nigga', 'crazi']",nigga crazi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
11,14,2021-05-08 22:22:39+00:00,this study note lack resources place men it is major issue which makes mad men bring context whining feminism ,misogyny,"['this', 'study', 'note', 'lack', 'resources', 'place', 'men', 'it', 'is', 'major', 'issue', 'which', 'makes', 'mad', 'men', 'bring', 'context', 'whining', 'feminism']","['thi', 'studi', 'note', 'lack', 'resourc', 'place', 'men', 'it', 'is', 'major', 'issu', 'which', 'make', 'mad', 'men', 'bring', 'context', 'whine', 'femin']",thi studi note lack resourc place men it is major issu which make mad men bring context whine femin,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.7906}",-0.7906,neg,0.667
12,15,2021-05-12 20:41:04+00:00,liberal feminism cute little gift men,misogyny,"['liberal', 'feminism', 'cute', 'little', 'gift', 'men']","['liber', 'femin', 'cute', 'littl', 'gift', 'men']",liber femin cute littl gift men,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.7096}",0.7096,pos,0.404
13,16,2021-03-17 03:07:40+00:00,thanks boost ifb resisters ,positive,"['thanks', 'boost', 'ifb', 'resisters']","['thank', 'boost', 'ifb', 'resist']",thank boost ifb resist,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.6369}",0.6369,pos,0.278
14,17,2021-05-18 04:46:49+00:00,instagram hiding stories palestine the views unusual lesser normal,neutral,"['instagram', 'hiding', 'stories', 'palestine', 'the', 'views', 'unusual', 'lesser', 'normal']","['instagram', 'hide', 'stori', 'palestin', 'the', 'view', 'unusu', 'lesser', 'normal']",instagram hide stori palestin the view unusu lesser normal,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.1779}",-0.1779,neg,0.825
15,18,2021-05-31 05:18:38+00:00,i fuck gogurts,offensive,"['i', 'fuck', 'gogurts']","['i', 'fuck', 'gogurt']",i fuck gogurt,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.222
16,19,2021-05-11 02:04:30+00:00,may allah accept prayers help palestinians ,positive,"['may', 'allah', 'accept', 'prayers', 'help', 'palestinians']","['may', 'allah', 'accept', 'prayer', 'help', 'palestinian']",may allah accept prayer help palestinian,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.6486}",0.6486,pos,0.43
17,20,2021-05-17 17:17:13+00:00,so tell aa bomb taxi you bomb cemetary bomb christian pray place bomb media building you sure got address bomb haa why bombed taxi they rock throw gun shot,attacking,"['so', 'tell', 'aa', 'bomb', 'taxi', 'you', 'bomb', 'cemetary', 'bomb', 'christian', 'pray', 'place', 'bomb', 'media', 'building', 'you', 'sure', 'got', 'address', 'bomb', 'haa', 'why', 'bombed', 'taxi', 'they', 'rock', 'throw', 'gun', 'shot']","['so', 'tell', 'aa', 'bomb', 'taxi', 'you', 'bomb', 'cemetari', 'bomb', 'christian', 'pray', 'place', 'bomb', 'media', 'build', 'you', 'sure', 'got', 'address', 'bomb', 'haa', 'whi', 'bomb', 'taxi', 'they', 'rock', 'throw', 'gun', 'shot']",so tell aa bomb taxi you bomb cemetari bomb christian pray place bomb media build you sure got address bomb haa whi bomb taxi they rock throw gun shot,"{'neg': 0.485, 'neu': 0.419, 'pos': 0.096, 'compound': -0.9617}",-0.9617,neg,0.419
18,21,2021-05-31 06:57:45+00:00,absolutely i shut fuck,attacking,"['absolutely', 'i', 'shut', 'fuck']","['absolut', 'i', 'shut', 'fuck']",absolut i shut fuck,"{'neg': 0.636, 'neu': 0.364, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.364
19,22,2021-04-27 01:45:17+00:00,fuck wrong niggas man chris paul voice ,racism,"['fuck', 'wrong', 'niggas', 'man', 'chris', 'paul', 'voice']","['fuck', 'wrong', 'nigga', 'man', 'chri', 'paul', 'voic']",fuck wrong nigga man chri paul voic,"{'neg': 0.569, 'neu': 0.431, 'pos': 0.0, 'compound': -0.765}",-0.765,neg,0.431
20,25,2021-05-17 10:54:17+00:00,to think happening palestine fine believe truly innocent children defenceless people source violence do support death children if humanity failed terribly ,attacking,"['to', 'think', 'happening', 'palestine', 'fine', 'believe', 'truly', 'innocent', 'children', 'defenceless', 'people', 'source', 'violence', 'do', 'support', 'death', 'children', 'if', 'humanity', 'failed', 'terribly']","['to', 'think', 'happen', 'palestin', 'fine', 'believ', 'truli', 'innoc', 'children', 'defenceless', 'peopl', 'sourc', 'violenc', 'do', 'support', 'death', 'children', 'if', 'human', 'fail', 'terribl']",to think happen palestin fine believ truli innoc children defenceless peopl sourc violenc do support death children if human fail terribl,"{'neg': 0.256, 'neu': 0.588, 'pos': 0.156, 'compound': -0.5994}",-0.5994,neg,0.588
21,26,2021-05-16 10:30:03+00:00,umm saudi arabia providing missiles resistance brigades palestine ,neutral,"['umm', 'saudi', 'arabia', 'providing', 'missiles', 'resistance', 'brigades', 'palestine']","['umm', 'saudi', 'arabia', 'provid', 'missil', 'resist', 'brigad', 'palestin']",umm saudi arabia provid missil resist brigad palestin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
22,27,2021-05-16 23:56:38+00:00,disown kohli completely speak palestine anytime soon,attacking,"['disown', 'kohli', 'completely', 'speak', 'palestine', 'anytime', 'soon']","['disown', 'kohli', 'complet', 'speak', 'palestin', 'anytim', 'soon']",disown kohli complet speak palestin anytim soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
23,29,2021-05-17 03:49:10+00:00,your government supporting israel so calm down ,neutral,"['your', 'government', 'supporting', 'israel', 'so', 'calm', 'down']","['your', 'govern', 'support', 'israel', 'so', 'calm', 'down']",your govern support israel so calm down,"{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.6478}",0.6478,pos,0.486
24,30,2021-05-18 13:01:37+00:00,jews forgetting near past when christians west europe killed millions amp millions jews muslims gave homes live in shared meals heal wounds today muslims terrorists kill them hypocrisy,neutral,"['jews', 'forgetting', 'near', 'past', 'when', 'christians', 'west', 'europe', 'killed', 'millions', 'amp', 'millions', 'jews', 'muslims', 'gave', 'homes', 'live', 'in', 'shared', 'meals', 'heal', 'wounds', 'today', 'muslims', 'terrorists', 'kill', 'them', 'hypocrisy']","['jew', 'forget', 'near', 'past', 'when', 'christian', 'west', 'europ', 'kill', 'million', 'amp', 'million', 'jew', 'muslim', 'gave', 'home', 'live', 'in', 'share', 'meal', 'heal', 'wound', 'today', 'muslim', 'terrorist', 'kill', 'them', 'hypocrisi']",jew forget near past when christian west europ kill million amp million jew muslim gave home live in share meal heal wound today muslim terrorist kill them hypocrisi,"{'neg': 0.388, 'neu': 0.558, 'pos': 0.053, 'compound': -0.9413}",-0.9413,neg,0.558
25,31,2021-05-16 21:55:28+00:00,israel war criminal stop funding crimes humanity us tax dollars ,attacking,"['israel', 'war', 'criminal', 'stop', 'funding', 'crimes', 'humanity', 'us', 'tax', 'dollars']","['israel', 'war', 'crimin', 'stop', 'fund', 'crime', 'human', 'us', 'tax', 'dollar']",israel war crimin stop fund crime human us tax dollar,"{'neg': 0.578, 'neu': 0.422, 'pos': 0.0, 'compound': -0.8625}",-0.8625,neg,0.422
26,33,2021-05-12 14:09:27+00:00,down south niggas pause bro bugged tf,mocking,"['down', 'south', 'niggas', 'pause', 'bro', 'bugged', 'tf']","['down', 'south', 'nigga', 'paus', 'bro', 'bug', 'tf']",down south nigga pau bro bug tf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
27,34,2020-08-07 12:45:02+00:00,so important amplify stories voices for looking diversify syllabi curricula inclusive lot here ,neutral,"['so', 'important', 'amplify', 'stories', 'voices', 'for', 'looking', 'diversify', 'syllabi', 'curricula', 'inclusive', 'lot', 'here']","['so', 'import', 'amplifi', 'stori', 'voic', 'for', 'look', 'diversifi', 'syllabi', 'curricula', 'inclus', 'lot', 'here']",so import amplifi stori voic for look diversifi syllabi curricula inclu lot here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
28,35,2021-05-15 19:17:24+00:00,hey jews or isis ,mocking,"['hey', 'jews', 'or', 'isis']","['hey', 'jew', 'or', 'isi']",hey jew or isi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
29,36,2021-05-15 07:47:25+00:00,truth hamas responsible death kids gaza not israel hamas uses kids innocent civilians human shield that only reason unfortunately innocent victims gaza if care palestinian kids oppose hamas ,attacking,"['truth', 'hamas', 'responsible', 'death', 'kids', 'gaza', 'not', 'israel', 'hamas', 'uses', 'kids', 'innocent', 'civilians', 'human', 'shield', 'that', 'only', 'reason', 'unfortunately', 'innocent', 'victims', 'gaza', 'if', 'care', 'palestinian', 'kids', 'oppose', 'hamas']","['truth', 'hama', 'respons', 'death', 'kid', 'gaza', 'not', 'israel', 'hama', 'use', 'kid', 'innoc', 'civilian', 'human', 'shield', 'that', 'onli', 'reason', 'unfortun', 'innoc', 'victim', 'gaza', 'if', 'care', 'palestinian', 'kid', 'oppos', 'hama']",truth hama respon death kid gaza not israel hama use kid innoc civilian human shield that onli reason unfortun innoc victim gaza if care palestinian kid oppo hama,"{'neg': 0.169, 'neu': 0.676, 'pos': 0.155, 'compound': -0.128}",-0.128,neg,0.676
30,37,2021-05-15 09:20:25+00:00,what kissing israel s butt ,mocking,"['what', 'kissing', 'israel', 's', 'butt']","['what', 'kiss', 'israel', 's', 'butt']",what kiss israel s butt,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,pos,0.517
31,38,2021-05-17 13:32:23+00:00,o acha that sarcasm that sucker earlier claimed wuld pay pak debt crypto scheme later changed plan help palestine all ,offensive,"['o', 'acha', 'that', 'sarcasm', 'that', 'sucker', 'earlier', 'claimed', 'wuld', 'pay', 'pak', 'debt', 'crypto', 'scheme', 'later', 'changed', 'plan', 'help', 'palestine', 'all']","['o', 'acha', 'that', 'sarcasm', 'that', 'sucker', 'earlier', 'claim', 'wuld', 'pay', 'pak', 'debt', 'crypto', 'scheme', 'later', 'chang', 'plan', 'help', 'palestin', 'all']",o acha that sarcasm that sucker earlier claim wuld pay pak debt crypto scheme later chang plan help palestin all,"{'neg': 0.355, 'neu': 0.541, 'pos': 0.104, 'compound': -0.6705}",-0.6705,neg,0.541
32,39,2021-05-17 18:45:36+00:00,israeli terrorism continues death toll rises including children women injured attacks ,neutral,"['israeli', 'terrorism', 'continues', 'death', 'toll', 'rises', 'including', 'children', 'women', 'injured', 'attacks']","['isra', 'terror', 'continu', 'death', 'toll', 'rise', 'includ', 'children', 'women', 'injur', 'attack']",isra terror continu death toll rise includ children women injur attack,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.886}",-0.886,neg,0.435
33,40,2021-05-31 15:29:38+00:00,bummer why people creepy fucks leave people alone ,offensive,"['bummer', 'why', 'people', 'creepy', 'fucks', 'leave', 'people', 'alone']","['bummer', 'whi', 'peopl', 'creepi', 'fuck', 'leav', 'peopl', 'alon']",bummer whi peopl creepi fuck leav peopl alon,"{'neg': 0.504, 'neu': 0.496, 'pos': 0.0, 'compound': -0.7269}",-0.7269,neg,0.496
34,41,2020-08-13 22:08:58+00:00, from small business winery solidarity,neutral,"['from', 'small', 'business', 'winery', 'solidarity']","['from', 'small', 'busi', 'wineri', 'solidar']",from small busi wineri solidar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
35,42,2020-06-25 23:33:48+00:00,ahmaud arebrey update jenny slate amp kristen bell on voice acting amp more,neutral,"['ahmaud', 'arebrey', 'update', 'jenny', 'slate', 'amp', 'kristen', 'bell', 'on', 'voice', 'acting', 'amp', 'more']","['ahmaud', 'arebrey', 'updat', 'jenni', 'slate', 'amp', 'kristen', 'bell', 'on', 'voic', 'act', 'amp', 'more']",ahmaud arebrey updat jenni slate amp kristen bell on voic act amp more,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
36,43,2021-05-16 05:48:10+00:00,why malasiya taking pain palestine country,neutral,"['why', 'malasiya', 'taking', 'pain', 'palestine', 'country']","['whi', 'malasiya', 'take', 'pain', 'palestin', 'countri']",whi malasiya take pain palestin countri,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5106}",-0.5106,neg,0.602
37,44,2021-05-17 03:21:05+00:00,indian support stand looking vote confused scared ,positive,"['indian', 'support', 'stand', 'looking', 'vote', 'confused', 'scared']","['indian', 'support', 'stand', 'look', 'vote', 'confus', 'scare']",indian support stand look vote confu scare,"{'neg': 0.294, 'neu': 0.459, 'pos': 0.248, 'compound': -0.128}",-0.128,neg,0.459
38,45,2021-05-17 03:21:05+00:00,looking vote confused scared,mocking,"['looking', 'vote', 'confused', 'scared']","['look', 'vote', 'confus', 'scare']",look vote confu scare,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg,0.484
39,46,2021-05-16 18:15:18+00:00,gaza suffers deadliest airstrikes israel targets hamasleader,neutral,"['gaza', 'suffers', 'deadliest', 'airstrikes', 'israel', 'targets', 'hamasleader']","['gaza', 'suffer', 'deadliest', 'airstrik', 'israel', 'target', 'hamaslead']",gaza suffer deadliest airstrik israel target hamaslead,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.632
40,48,2021-05-16 18:30:41+00:00,prior jews stateless millennia and jews persecuted states millennia israel product some jews insisting safety getting business state violence yourself and are ,neutral,"['prior', 'jews', 'stateless', 'millennia', 'and', 'jews', 'persecuted', 'states', 'millennia', 'israel', 'product', 'some', 'jews', 'insisting', 'safety', 'getting', 'business', 'state', 'violence', 'yourself', 'and', 'are']","['prior', 'jew', 'stateless', 'millennia', 'and', 'jew', 'persecut', 'state', 'millennia', 'israel', 'product', 'some', 'jew', 'insist', 'safeti', 'get', 'busi', 'state', 'violenc', 'yourself', 'and', 'are']",prior jew stateless millennia and jew persecut state millennia israel product some jew insist safeti get busi state violenc yourself and are,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
41,49,2021-05-12 04:23:11+00:00,yes i started and know i changed lot niggas in matter months i raised lot niggas,neutral,"['yes', 'i', 'started', 'and', 'know', 'i', 'changed', 'lot', 'niggas', 'in', 'matter', 'months', 'i', 'raised', 'lot', 'niggas']","['ye', 'i', 'start', 'and', 'know', 'i', 'chang', 'lot', 'nigga', 'in', 'matter', 'month', 'i', 'rais', 'lot', 'nigga']",ye i start and know i chang lot nigga in matter month i rai lot nigga,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",0.0258,pos,0.916
42,50,2021-05-18 17:31:54+00:00,big newsbangladeshi cyber warriors going attack israel amp india,attacking,"['big', 'newsbangladeshi', 'cyber', 'warriors', 'going', 'attack', 'israel', 'amp', 'india']","['big', 'newsbangladeshi', 'cyber', 'warrior', 'go', 'attack', 'israel', 'amp', 'india']",big newsbangladeshi cyber warrior go attack israel amp india,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neg,0.721
43,51,2020-09-04 00:51:29+00:00,trump continue ruining country biden unifying kind caring sympathetic person trump mysogynist narcissist hates strong women only cares making money office children reunited w family,attacking,"['trump', 'continue', 'ruining', 'country', 'biden', 'unifying', 'kind', 'caring', 'sympathetic', 'person', 'trump', 'mysogynist', 'narcissist', 'hates', 'strong', 'women', 'only', 'cares', 'making', 'money', 'office', 'children', 'reunited', 'w', 'family']","['trump', 'continu', 'ruin', 'countri', 'biden', 'unifi', 'kind', 'care', 'sympathet', 'person', 'trump', 'mysogynist', 'narcissist', 'hate', 'strong', 'women', 'onli', 'care', 'make', 'money', 'offic', 'children', 'reunit', 'w', 'famili']",trump continu ruin countri biden unifi kind care sympathet person trump mysogynist narcissist hate strong women onli care make money offic children reunit w famili,"{'neg': 0.194, 'neu': 0.466, 'pos': 0.339, 'compound': 0.6808}",0.6808,pos,0.466
44,52,2021-04-11 06:16:12+00:00,cook nigga breakfast sex like reward i way think day warning,neutral,"['cook', 'nigga', 'breakfast', 'sex', 'like', 'reward', 'i', 'way', 'think', 'day', 'warning']","['cook', 'nigga', 'breakfast', 'sex', 'like', 'reward', 'i', 'way', 'think', 'day', 'warn']",cook nigga breakfast sex like reward i way think day warn,"{'neg': 0.096, 'neu': 0.479, 'pos': 0.425, 'compound': 0.7003}",0.7003,pos,0.479
45,53,2021-05-08 10:30:31+00:00,you missing nothing this useless feminism keeps place unable exist organise toilet receive help medical effects male violence away males but mean men like us ,misogyny,"['you', 'missing', 'nothing', 'this', 'useless', 'feminism', 'keeps', 'place', 'unable', 'exist', 'organise', 'toilet', 'receive', 'help', 'medical', 'effects', 'male', 'violence', 'away', 'males', 'but', 'mean', 'men', 'like', 'us']","['you', 'miss', 'noth', 'thi', 'useless', 'femin', 'keep', 'place', 'unabl', 'exist', 'organis', 'toilet', 'receiv', 'help', 'medic', 'effect', 'male', 'violenc', 'away', 'male', 'but', 'mean', 'men', 'like', 'us']",you miss noth thi useless femin keep place unabl exist organi toilet receiv help medic effect male violenc away male but mean men like us,"{'neg': 0.109, 'neu': 0.717, 'pos': 0.174, 'compound': 0.4404}",0.4404,pos,0.717
46,54,2021-05-17 11:57:59+00:00,from river to sea palestine free ,positive,"['from', 'river', 'to', 'sea', 'palestine', 'free']","['from', 'river', 'to', 'sea', 'palestin', 'free']",from river to sea palestin free,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.5106}",0.5106,pos,0.602
47,55,2021-05-31 19:55:27+00:00,fuck man i pissed,offensive,"['fuck', 'man', 'i', 'pissed']","['fuck', 'man', 'i', 'piss']",fuck man i piss,"{'neg': 0.861, 'neu': 0.139, 'pos': 0.0, 'compound': -0.7351}",-0.7351,neg,0.139
48,56,2020-07-22 06:50:28+00:00,my birthday cheesecake delicious hollywood california,positive,"['my', 'birthday', 'cheesecake', 'delicious', 'hollywood', 'california']","['my', 'birthday', 'cheesecak', 'delici', 'hollywood', 'california']",my birthday cheesecak delici hollywood california,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
49,57,2021-04-30 01:22:59+00:00,nigga told come like got wack weed twisted tea lord i tired,neutral,"['nigga', 'told', 'come', 'like', 'got', 'wack', 'weed', 'twisted', 'tea', 'lord', 'i', 'tired']","['nigga', 'told', 'come', 'like', 'got', 'wack', 'weed', 'twist', 'tea', 'lord', 'i', 'tire']",nigga told come like got wack weed twist tea lord i tire,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,pos,0.8
50,60,2021-05-30 22:44:11+00:00,funny niggas weak dick laughing yo way new dick,offensive,"['funny', 'niggas', 'weak', 'dick', 'laughing', 'yo', 'way', 'new', 'dick']","['funni', 'nigga', 'weak', 'dick', 'laugh', 'yo', 'way', 'new', 'dick']",funni nigga weak dick laugh yo way new dick,"{'neg': 0.525, 'neu': 0.276, 'pos': 0.199, 'compound': -0.7096}",-0.7096,neg,0.276
51,61,2021-04-24 04:26:57+00:00,niggas offer baby offering healthy marriage,racism,"['niggas', 'offer', 'baby', 'offering', 'healthy', 'marriage']","['nigga', 'offer', 'babi', 'offer', 'healthi', 'marriag']",nigga offer babi offer healthi marriag,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
52,62,2020-12-17 09:44:24+00:00,anyways classmates tagging digusting guy he gets away so easily objectifying right us its fun jokes chill spoken like true mysogynist,neutral,"['anyways', 'classmates', 'tagging', 'digusting', 'guy', 'he', 'gets', 'away', 'so', 'easily', 'objectifying', 'right', 'us', 'its', 'fun', 'jokes', 'chill', 'spoken', 'like', 'true', 'mysogynist']","['anyway', 'classmat', 'tag', 'digust', 'guy', 'he', 'get', 'away', 'so', 'easili', 'objectifi', 'right', 'us', 'it', 'fun', 'joke', 'chill', 'spoken', 'like', 'true', 'mysogynist']",anyway classmat tag digust guy he get away so easili objectifi right us it fun joke chill spoken like true mysogynist,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.8689}",0.8689,pos,0.612
53,63,2021-04-13 04:17:01+00:00,you sound like me idk wtf going niggas tryna cuff early summer year,racism,"['you', 'sound', 'like', 'me', 'idk', 'wtf', 'going', 'niggas', 'tryna', 'cuff', 'early', 'summer', 'year']","['you', 'sound', 'like', 'me', 'idk', 'wtf', 'go', 'nigga', 'tryna', 'cuff', 'earli', 'summer', 'year']",you sound like me idk wtf go nigga tryna cuff earli summer year,"{'neg': 0.294, 'neu': 0.565, 'pos': 0.141, 'compound': -0.4019}",-0.4019,neg,0.565
54,66,2021-05-15 03:48:07+00:00,for hamas started this israel right defend themselves started ethnic cleansing continuous genocides palestinians committed israel,attacking,"['for', 'hamas', 'started', 'this', 'israel', 'right', 'defend', 'themselves', 'started', 'ethnic', 'cleansing', 'continuous', 'genocides', 'palestinians', 'committed', 'israel']","['for', 'hama', 'start', 'thi', 'israel', 'right', 'defend', 'themselv', 'start', 'ethnic', 'cleans', 'continu', 'genocid', 'palestinian', 'commit', 'israel']",for hama start thi israel right defend themselv start ethnic clean continu genocid palestinian commit israel,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.5994}",0.5994,pos,0.741
55,69,2021-05-31 05:19:20+00:00,tell aboutyou know streets goes knowaround compton going usmost kids compton fuck mayor isyou know interested votinand police know i sayin i say fuck,offensive,"['tell', 'aboutyou', 'know', 'streets', 'goes', 'knowaround', 'compton', 'going', 'usmost', 'kids', 'compton', 'fuck', 'mayor', 'isyou', 'know', 'interested', 'votinand', 'police', 'know', 'i', 'sayin', 'i', 'say', 'fuck']","['tell', 'abouty', 'know', 'street', 'goe', 'knowaround', 'compton', 'go', 'usmost', 'kid', 'compton', 'fuck', 'mayor', 'isyou', 'know', 'interest', 'votinand', 'polic', 'know', 'i', 'sayin', 'i', 'say', 'fuck']",tell abouti know street goe knowaround compton go usmost kid compton fuck mayor isyou know interest votinand polic know i sayin i say fuck,"{'neg': 0.241, 'neu': 0.655, 'pos': 0.103, 'compound': -0.6124}",-0.6124,neg,0.655
56,71,2021-05-16 00:45:07+00:00,mate,neutral,['mate'],['mate'],mate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
57,72,2021-05-31 03:52:24+00:00,fuck yes ,offensive,"['fuck', 'yes']","['fuck', 'ye']",fuck ye,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.222
