,index,Datetime,Text,lang,label,class
49,50,2020-01-30 23:51:46+00:00, advancedape2e tulsaworld yes throw putin well putin knocked reporters sport like musdolini hitler believe trump thought away it pic putins handy work all eliminated https t co mxyc2jzrvg,en,bully,0
52,53,2020-01-30 23:51:31+00:00,i m surprised i thought fox news plays they re number viewer trump use mexican beer excuse build stupid wall https t co pyulnc61eg,en,bully,0
54,55,2020-01-30 23:51:18+00:00,attention senatemajldr gopleader senategop your oath not bow trump self appointed dictator it constitution country constituents the country wants hear witnesses john bolton https t co rmafzmfc6u,en,bully,0
55,56,2020-01-30 23:51:13+00:00, speakerpelosi not investigate failure house shows senate i ve watched min trial it s shame speaker country torn constitution impeach people clean mess trump 2020,en,bully,0
57,58,2020-01-30 23:50:49+00:00, michael90375708 whitehouse donald john trump forever impeachedforlife,en,bully,3
58,59,2020-01-30 23:50:45+00:00, animals_and abc news segment trump rally currently des moines iowa your version house rising sun blasting pa background crowd did approve use song ,en,bully,0
59,60,2020-01-30 23:50:29+00:00,mini anti trump demonstration rolling 15th st nw dc https t co 72jgmqgne4,en,bully,0
65,67,2020-01-30 23:50:08+00:00,but i m going laugh enjoy company friends fam and prepare life trump not i don t care i m foresaking emotional well being gop they senate they re showing lose hella votes ,en,bully,0
68,70,2020-01-30 23:49:43+00:00, lindseygrahamsc maybe extract head trump s ask threatened testify you shook lev showed up ,en,bully,0
70,72,2020-01-30 23:49:20+00:00,hillary i feel urge run against trump again https t co nmkvj2lofa powerhouse news hillary run trump you ll sorry you ll beat votes you ll haven t good old usa ,en,bully,0
71,73,2020-01-30 23:49:13+00:00,you losers haven t shown proof trumps innocence lol https t co q87vdwd9qe,en,bully,0
72,74,2020-01-30 23:49:08+00:00, deepsouthlove tony 20 trump landslide senate house donald trump junior 2024,en,bully,0
73,75,2020-01-30 23:49:03+00:00, gop tired bullshit this president trump committed impeachable offenses obama clinton impeached lesser offenses this amp now do job regardless party americans done w blatant abuse trump ,en,bully,0
78,80,2020-01-30 23:48:42+00:00,does senategop dscc accept trumpdefense potus break laws cheat election s he believes good country if so trump defy 22ndamendment thinks it s good country ,en,bully,0
79,81,2020-01-30 23:48:33+00:00,after listening lev parnas trump acquitted because we re all in on it lindseygrahamsc senrickscott i m sure randpaul hand wants whistleblower bad november round corner i hope 2020 blue wave ,en,bully,0
81,83,2020-01-30 23:48:06+00:00, joebiden and in what joke are president trump worked wonders country you hand 40 years government service value americans you positions years enrich family ,en,bully,0
83,85,2020-01-30 23:47:50+00:00,politico is donald trump manly man https t co sr4jq5dehr googlenews,en,bully,0
85,87,2020-01-30 23:47:47+00:00, lemar4292 hello senator alexander respect 75 of americans want witnesses heard want truth and can t guarantee got truth president trump associated ukraine situation bolton wants speak andothers,en,bully,0
86,88,2020-01-30 23:47:44+00:00, wsjopinion what crock shit shameful just hand trump dictatorship wants this fabrication twisted lying stop already ,en,bully,0
88,90,2020-01-30 23:47:17+00:00,it can t crime whistle blowers protected blocking trump s cabinets persons people that s fired still better walk testify call let stand their threats made but don t will bad threats ,en,bully,0
89,91,2020-01-30 23:46:58+00:00, mzhemingway realdonaldtrump there questions coming conspiracy theorists americans know whistleblowers complaint corroborated trump obsolete lose job maybe life now know true spineless feckless gop https t co mfd7hghduc,en,bully,0
90,92,2020-01-30 23:46:56+00:00, morethanmysle redtraccoon so long trump president expect unfair policies beneficial wealthiest corporation big pharma insurance industry defense contractors nra you suckered donald trump s policies awaken usa,en,bully,0
94,96,2020-01-30 23:45:58+00:00,it doesn t matter hunter biden and or whistleblower unethical guilty something doesn t mr trump guilty right is awareness trump s ukraine appeal considered fruit poisonous tree impeachment impeachmenttrial,en,bully,0
95,97,2020-01-30 23:45:46+00:00, msnbc the reason roberts can t intervene trump removed office guilty charges later case goes supreme court he d recuse sat trump s impeachment trial ,en,bully,0
96,98,2020-01-30 23:45:45+00:00, timkaine nothing not putting impeached president trump office neuter turn senate house shams presidents demands like russia ,en,bully,0
97,99,2020-01-30 23:45:31+00:00, repgosar dentist trump paying attention you give break ,en,bully,0
98,100,2020-01-30 23:45:27+00:00, juliansrum i listen trumps lol,en,bully,3
100,102,2020-01-30 23:45:11+00:00,check blunt amp excellent op ed piece scaramucci he blunt past months mistake supporting trump amp important remove trump unhinged conman potus purposefully dividing country misdirect attention wrongdoing https t co jabaudgy1r,en,bully,0
102,104,2020-01-30 23:44:52+00:00,senator alexander reading book senate floor yes senator abuse power impeachable conduct and yes impeachment bipartisan dems plus amash but complete stonewall trump trumpists https t co 3racgrdaas,en,bully,0
103,105,2020-01-30 23:44:44+00:00, deel173 johncornyn realdonaldtrump kimstrassel wsj yes trump spent year half obama 8 years travel https t co d7vpjdhp0m example ,en,bully,0
104,106,2020-01-30 23:44:38+00:00,there going big gangster movie event distant future will trump hero goat depends november results amazing faux anger faux justice mafia type behaviour looms large us senate gop https t co mclvyufdsg,en,bully,0
110,112,2020-01-30 23:44:05+00:00,the enemy is mad as a scaulded cat by way of mr trump s stand for life abortion is literally life s blood of democrats planned parenthood is pure evil and a majority of americans know it fear of abolishment of their practice drives progressive left mad life shall prevail https t co ae8yqnvcoj,en,bully,0
117,120,2020-01-30 23:43:19+00:00, mkraju just like trump surrogates suggested russian hacking dnc distribution emails provided value ,en,bully,0
118,121,2020-01-30 23:43:18+00:00, randpaul your question legit this coup part ii schiff dems plotted like fbi exploring started who coached who why hearings secret why dem witnesses no process ok trump but ok explore dem bias illegality ,en,bully,0
120,123,2020-01-30 23:42:56+00:00,even hunter stone cold guilty nothing hearing investigate hunter trump guilty charges bad asshole isn t charge there d question trump impeached i m worried truth hiding truth,en,bully,0
122,125,2020-01-30 23:42:44+00:00, furtogo we trump set president life ivanka trump jr eric baron ,en,bully,0
123,126,2020-01-30 23:42:39+00:00, if you re supporting donald trump bernie sanders year collaboration skills high list priorities if america representative government survive recognize center majority compromise https t co hfympwm5dg,en,bully,0
125,128,2020-01-30 23:42:22+00:00,no republican job house senate trump acquitted https t co uu08g6xf0n,en,bully,0
127,130,2020-01-30 23:42:14+00:00, speakerpelosi you ve trying impeachment trump elected you wanted impeached b4 wrong you re piece work i hope job snatched away you you cronies disgusting amp disgrace,en,bully,0
128,131,2020-01-30 23:42:09+00:00, njdotcom too bad wasn t trump ,en,bully,0
129,132,2020-01-30 23:41:53+00:00, jaysekulow for the last time biden and his son are not relevant witnesses to trumps actions please sekulow s law license,en,bully,0
132,135,2020-01-30 23:41:36+00:00,just saw mikebloomberg ad accusing realdonaldtrump causing hurricanes amp tornadoes so bloomberg calling trump god or totallythesciencecandidate,en,bully,0
134,137,2020-01-30 23:41:17+00:00, therealwedgea thedemocrats you thinking that although i no idea anyone truly that he bragged withholding funds unless how not worse trump accused of if ask ukraine i m pretty sure they felt quid pro quo affect but not trump ,en,bully,0
138,141,2020-01-30 23:40:56+00:00, senatemajldr dershowitz strongest argument obama thing power investigate trump election and legal constitutional right who knew ,en,bully,0
141,144,2020-01-30 23:40:29+00:00,and lie lofgren trump said right abuse power when democrats going drugs and alcohol stop feeding fiction reality it clinton cheating votes ask facebook russia https t co qx4bmwm3af,en,bully,0
142,145,2020-01-30 23:40:25+00:00, cnnpolitics every thing trump elected don t need useless impeachment trial trump 2020 best president,en,bully,0
143,146,2020-01-30 23:40:23+00:00,e jean carroll says trump raped seeks dna test sample dress https t co r14xobarse nbcnews,en,bully,0
149,154,2020-01-30 23:38:56+00:00,at things accurate we people choose vote obliterate trump republican party city the oval office https t co ps0lwpokr8,en,bully,0
151,156,2020-01-30 23:38:53+00:00,i m laughing here impeachment hearing house manage lady said clinton getting bj oval office isn t high crimes trump making phone oval office withholding funds grounds impeachment they lost minds amp grasping straws end,en,bully,0
153,158,2020-01-30 23:38:28+00:00, steve_plourde sexcounseling realdonaldtrump trump greatest president country had and absolute nobody ,en,bully,0
154,159,2020-01-30 23:38:12+00:00,trump caught in new foreign corruption scandal https t co 5djeaj6bz9 youtube,en,bully,0
156,162,2020-01-30 23:37:44+00:00,trump bringing change obama cnn https t co 85fibf8xjy,en,bully,0
158,164,2020-01-30 23:37:35+00:00,in alley bar night drunk gop decided quit defending trump instead support foreign governments interfering american elections ,en,bully,0
159,165,2020-01-30 23:37:29+00:00,if clinton produce dna trump https t co i5bqob1gld,en,bully,0
160,166,2020-01-30 23:37:26+00:00, this true in port jefferson long island owner ice cream shop huge sign bldg says in trump we trust yes supports racist president the shop owner george wallace yes really you can t shit ,en,bully,0
161,167,2020-01-30 23:37:23+00:00, jakester_1 kmclc2016brutus mommadnilsen realgigachad matthewjshow realdonaldtrump you re buying fact trump didn t conspire russians dude conned ,en,bully,0
162,168,2020-01-30 23:37:21+00:00, alandersh i beginning think couldn t handle it you corrupted trump even i said something didn t hear i said syndrome don t piss legs amp tell it s raining sir ,en,bully,0
165,171,2020-01-30 23:37:10+00:00,in case missed big state leg endorsements teamjoe today dubuque state sen pam jochum waterloo state rep timi brown powers both know joebiden beat donald trump unite country read statements below iacaucus teamjoe https t co 87g4scj9pe,en,bully,0
166,172,2020-01-30 23:37:04+00:00,clinton provided sample proved lying trump provide i clear https t co gprxy23btv,en,bully,0
167,173,2020-01-30 23:36:41+00:00,at times today trump lawyers disavowed dershowitz s horse crap claims president wants that s true trump lawyer philbin said bye bye alan ,en,bully,0
170,176,2020-01-30 23:36:22+00:00,why trump crush joe biden google mbna joe ,en,bully,0
172,178,2020-01-30 23:36:09+00:00,hmmm cdc says epidemic who listen to trump says coronavirus outbreak very control topbuzz https t co 9uz54p3arl,en,bully,0
174,180,2020-01-30 23:35:56+00:00, msd_rajohnston you ve slammed burr long time your hatred trump causes view different deplorable i d love coffee w day i think you re partisan person i ve seen many points view not 1 yours,en,bully,0
175,181,2020-01-30 23:35:54+00:00,why he trump doesn t tell gets caught jared ivanka same they making deal benefit them getthetrumpsoutofpower https t co kxquybixcc,en,bully,0
176,182,2020-01-30 23:35:52+00:00,rally crowd waiting trump iowa https t co vcf2xwvzag,en,bully,0
180,186,2020-01-30 23:35:16+00:00, we ve requested simple saliva sample trump rape accuser seeks dna topbuzz https t co 8jq3swm8we,en,bully,0
183,190,2020-01-30 23:35:05+00:00, mysterysolvent all white room sleepy trump ,en,bully,0
185,192,2020-01-30 23:34:28+00:00,president trump is greatly blessed and highly favored god smiles upon his administration via his love and care for israel god s promise to bless those who bless israel is an historically provable fact wonderful to have a genuine believer in the white house praise god https t co x706xuoxqm,en,bully,0
191,198,2020-01-30 23:34:03+00:00,you know what you trump local dairy queen regular folks joebiden everyday joe https t co 9zxdhullc7,en,bully,0
192,199,2020-01-30 23:34:01+00:00, you can t make this stuff up doj says trump can be impeached defying congressional subpoenas topbuzz https t co ctfohls5mm,en,bully,0
193,200,2020-01-30 23:33:56+00:00, maggienyt gtconway3d you talking trump obama maybe gov t term limits it s congressmen people country first ,en,bully,0
194,201,2020-01-30 23:33:49+00:00, mikebloomberg trump ad superbowl please him ,en,bully,0
196,203,2020-01-30 23:33:31+00:00, esther_colando devenish_gwen senwarren repadamschiff you mean trump yep 24 7 liar indeed i m okay cheeto dusted testicle sack ,en,bully,0
198,205,2020-01-30 23:33:25+00:00, trump s border wall vulnerable flash floods needs large storm gates left open months https t co uud7dz9m5f,en,bully,0
201,208,2020-01-30 23:33:12+00:00, evanmcmullin theibewbro it disheartening these questions partisan no effort truth trump lawyers making speeches attack house members answering questions ,en,bully,0
204,211,2020-01-30 23:32:55+00:00,get tiffany trumps dna we aren t gonna lie don t friend friend hasn t line coke tiffany trump georgetown law are we https t co souev63cax,en,bully,0
205,212,2020-01-30 23:32:47+00:00,so i m confused trump office what ,en,bully,0
208,215,2020-01-30 23:32:05+00:00, jrubinblogger it isn t biden he s telling lies told past civil rights movement if nominee trump stomp heck him ,en,bully,0
211,218,2020-01-30 23:31:56+00:00, redrockranter dougjones you re right this trial travesty gop trampling constitution plain sight they ll likely trump power monarch but dems believe civil discourse tradition democratic institutions maintain rule law i worry won t https t co eikrr9d8k7,en,bully,0
212,219,2020-01-30 23:31:53+00:00, rubinreport didn t trump run fundamentally changing country ,en,bully,0
214,221,2020-01-30 23:31:26+00:00, cnn msnbc foxnews disloyal corrupt randpaul ky hell bent today showcasing boot licking allegiance diabolical trump sad gop senatemajldr senategop housegop replouiegohmert seanhannity tuckercarlson ingrahamangle senatorburr https t co hcwzmvowcc,en,bully,0
215,222,2020-01-30 23:31:15+00:00,being senate institutionalist means jack s t age trump https t co tjlkjpuoex,en,bully,0
216,223,2020-01-30 23:31:14+00:00,disappointing gdp numbers should get people asking what happened to trump s promise 5 percent growth topbuzz https t co 5uwiocisbx,en,bully,0
217,224,2020-01-30 23:30:39+00:00, _sjpeace_ urocklive1 trump s harmful rhetoric us racial resentment opposition race conscious programs booze belligerent strain aggressively authoritarian violent folk ,en,bully,0
218,225,2020-01-30 23:30:37+00:00, realsusanswift jaketapper the thing buried heads bcs truth facts matter trump matters supporters https t co 4wgzc5qssk,en,bully,0
227,234,2020-01-30 23:29:41+00:00, alexandrachalup alandersh you helped coordinate ukrainian efforts undermine trump campaign can t wait lady justice catches you ,en,bully,0
228,235,2020-01-30 23:29:21+00:00, kamvtv they hate trump outsider rocking boat fear corruption revealed ,en,bully,3
229,236,2020-01-30 23:29:10+00:00, thomasmazze sunny lol perfect irony you democratic sham yet exactly corrupt gop playbook impeached president consensual sexual act yet won t ask documents witnesses know trump broke law shameful ,en,bully,0
234,241,2020-01-30 23:28:25+00:00, judge fines trump 2 million misusing charity foundation topbuzz https t co f27kqnu8gh,en,bully,0
236,243,2020-01-30 23:28:14+00:00,new york ap lawyers woman accuses president donald trump raping 1990s asking dna sample seeking determine genetic material dress says wore encounter https t co 40ogy1dijw,en,bully,0
237,244,2020-01-30 23:28:05+00:00,did expect republicans right thing trump paid threatened them fear greed rule republicans https t co 7f3ruj7ug7,en,bully,0
241,248,2020-01-30 23:27:28+00:00,i saw trump flag neighborhood fuck ____ _____ __ _ commit arson ,en,bully,3
243,250,2020-01-30 23:27:24+00:00, ingrahamangle hopefully you ll opportunity interview him it refreshing listen tells truth adam instead listening trump bold face lie covering sad coverup president lying face embarrassing,en,bully,0
245,252,2020-01-30 23:27:23+00:00,official trump merchandise sold keepamericagreat rally des moines it s u s a woo says vendor weareiowa5news https t co llwtmr9pfp,en,bully,0
248,255,2020-01-30 23:26:50+00:00,reminder trump denied americans hurt later essentially said whining headaches https t co 3nkmmawwvg,en,bully,0
250,257,2020-01-30 23:26:31+00:00, edburmila marcushjohnson lol flaws according trump wingnuts sad https t co zwge0zjmo8,en,bully,0
256,263,2020-01-30 23:26:01+00:00, livingsmallnews funder you definitely living small believe tinyhandstrump schiff laid strong case amp 75 americans want hear testimony amp documents if trump innocent afraid evidence putuporshutup,en,bully,0
263,270,2020-01-30 23:24:36+00:00, atrupar you mean trump start making products u s https t co 8ewz9bqkex,en,bully,0
266,273,2020-01-30 23:24:16+00:00, colbert trump if everything john bolton says is untrue how could it also be classified topbuzz https t co 8oghspzvuz,en,bully,0
267,274,2020-01-30 23:24:15+00:00,president trump is a noble and courageous commander and chief who does not flinch at the petty and vicious attacks from the left his bold and infectious patriotism carries him on to victory after victory astounding the nation with a fortitude most mighty and economic prowess https t co kqwnha5fpf,en,bully,0
269,276,2020-01-30 23:23:54+00:00,we seen favoritism cronyism nepotism fordnation wants like trump king doug https t co x3plkf902a,en,bully,0
272,279,2020-01-30 23:23:34+00:00, therickwilson pathetic sad stupid men trump devotees,en,bully,0
276,283,2020-01-30 23:22:35+00:00, these impeachment hearings like sesame street trying figure cookie monster ate cookies sarahcpr this best characterize absurdity impeachmenttrial amp senategop amp trump legal team wewantwitnesses,en,bully,0
279,286,2020-01-30 23:22:17+00:00,we are republicans we want trump defeated https t co xdjiqu89fp,en,bully,0
280,287,2020-01-30 23:22:09+00:00, trump_detester benito35dddavis actually they disbarred we longer living country i recognize trump monarch ,en,bully,0
282,289,2020-01-30 23:22:05+00:00, lindseygrahamsc senate republicans blocking witnesses don t try spin lindsey your involvement trashy trump destroyed you johnboltonmusttestify johnboltonmusttestify,en,bully,0
286,293,2020-01-30 23:21:51+00:00, laeverett2 tractor444 repstevensmith i write trump ,en,bully,0
287,294,2020-01-30 23:21:48+00:00, realdonaldtrump potus we love our president trump,en,bully,0
291,298,2020-01-30 23:21:25+00:00, stormisuponus ha i told kids reason biden running deep state plan trap trump start impeachment,en,bully,0
292,299,2020-01-30 23:21:25+00:00, essenviews trump nothing his henchmen staff accomplish things takes credit for laziest president ever lardass in chief he admittedly can t bothered read briefings he can t read words 2 syllables teleprompter loaded speech ,en,bully,0
293,300,2020-01-30 23:21:20+00:00, prayingmedic alwayspsalm91 who violated democrats are guilty of high treason and everything they accused our president donald john trump of their the constitution violater s personified 1st 2nd etc amendment s ,en,bully,0
296,303,2020-01-30 23:21:07+00:00, putinsgay all caring waiter trump function snag drinking glass,en,bully,0
298,305,2020-01-30 23:20:58+00:00, seanhannity just trump lies ties russia but deutsche bank knows,en,bully,0
299,306,2020-01-30 23:20:39+00:00,when cnn puts story trump racist minorities coronavirus task force tony this brilliant https t co jadvuamjdf,en,bully,0
302,309,2020-01-30 23:19:15+00:00,today tomorrow d c protest demand trump pence outnow https t co quyawix0eo,en,bully,0
303,310,2020-01-30 23:19:11+00:00, randpaul you think trump s attempted extortion ukraine help getting reelected impeachable it is don t your question smoke mirrors https t co xhuwyetpj1,en,bully,0
305,312,2020-01-30 23:18:43+00:00, criket2015 normally i don t bother explain trump supporters usually don t believe anyway my point conservatives amp definitely moderates lock step trump,en,bully,0
307,314,2020-01-30 23:18:38+00:00, jennobenno angiejones1968 they argue time consuming process senate senate business isn t enormous stack bills legislation disregarded tied covering repairing trump s mistakes time ,en,bully,0
308,315,2020-01-30 23:18:35+00:00,follow classified procedures like fired comey oval office russians what procedure trump approved reveal state secrets israel asking millions friends world wide ,en,bully,0
312,319,2020-01-30 23:18:11+00:00, i believe this trump zealots lot like bernie zealots https t co licyem3nub,en,bully,0
314,321,2020-01-30 23:18:02+00:00,biden shameless like trump way lying themeselves amazing easily debunked ways tytlive,en,bully,0
315,322,2020-01-30 23:17:59+00:00,adam schiff busted whistleblower was overheard 17th discussing with ally how remove trump realclearinvestigations https t co vcemn1qazo,en,bully,0
316,323,2020-01-30 23:17:43+00:00,some people like president trump some people not you d think ones like republicans it s democrats don t right wrong meet the lincoln project morningblend10 https t co csvehjd8ar,en,bully,0
317,324,2020-01-30 23:17:25+00:00, speakerpelosi is thinking america we harshly judge senators what do we obligation drive fascist regime all humanity get twitter streets now demand trump pence outnow w sustained nationwide protest ,en,bully,0
318,325,2020-01-30 23:17:20+00:00, craigmcnish3 bruinsfantrev russonpolitics repadamschiff it s hard i know trump good office they hate trump pitiful wish i paid 6 figure salary nothing have great day ,en,bully,0
319,326,2020-01-30 23:17:08+00:00, speakerpelosi i believe question asked hilary clinton she this i parent i don t care sister did i talking president trump son what wrong you punished ,en,bully,0
320,327,2020-01-30 23:17:03+00:00,is thinking america we harshly judge senators what do we obligation drive fascist regime all humanity get twitter streets now demand trump pence outnow w sustained nationwide protest https t co 6thx5kmvcz,en,bully,0
321,328,2020-01-30 23:16:59+00:00, waltshaub no it s attempt promote trump godhood laughable we laugh faces big old belly laughs and necessary ready defend democracy we this ,en,bully,0
322,329,2020-01-30 23:16:45+00:00,buying voters thought illegal trump is https t co yxubatdlyr,en,bully,0
323,330,2020-01-30 23:16:37+00:00, realdonaldtrump foxnews adamschiff how u select managers they creamed trump s counsel jeffries just plain dumb,en,bully,0
325,332,2020-01-30 23:16:36+00:00, kplorable msnbc exactly point exactly tweet about witnesses senate trial he did witnesses senate trial trump option calling witnesses doesn t want to he wants block witnesses senate trial ,en,bully,0
327,334,2020-01-30 23:16:23+00:00, odawa49 realdonaldtrump your peeps haven t caught yet just wait by trump s leaving office jan 2025 your evil criminals tapped ,en,bully,0
330,337,2020-01-30 23:15:54+00:00,npr house votes no war against iran in rebuke to trump https t co mmn5ddrpfx googlenews,en,bully,0
331,338,2020-01-30 23:15:51+00:00, alandersh we heard said over amp amp amp again just like trump said asked dirt bidens said any quid pro quo wants elected believes it s best nation ya can t walk shit back d boy nice try tho,en,bully,0
332,339,2020-01-30 23:15:37+00:00, randpaul pull head trump s rear quarter panel jackass obama trial neither prominently named bidens trial none clintons trial trump tax payer money bribe foreign nation political dirt period hence impeached trial ,en,bully,0
333,340,2020-01-30 23:15:35+00:00, tribelaw alandersh a crook a crook a cheater a cheater and trump is not my president ,en,bully,0
337,344,2020-01-30 23:15:23+00:00, johncornyn your argument democrats rushed impeachment do concern pile evidence showing trump abused power personal gains we need vote 2020 witnessesanddocuments impeachmenthearing gopcorruptionovercountry https t co tvjvehoc8j,en,bully,0
338,346,2020-01-30 23:15:00+00:00,dems not rest til removal but wh council wants talk bidens instead trump crimes you talk endlessly symantic circles truth weak in fact snarky bitchy not fault little work with ,en,bully,0
339,347,2020-01-30 23:15:00+00:00, fox news judge calls witnesses trump trial how can senate be faithful constitution i topbuzz https t co bwp4vbsquw,en,bully,0
340,348,2020-01-30 23:14:54+00:00, radiofreetom i up seriously trump obviously wants people stop won t so ,en,bully,0
342,350,2020-01-30 23:14:46+00:00,trump scene knapp arena drake campus des moines clockwise upper left get merch waiting evening rally police everywhere trump t 5 pm thursday rally set 7 pm https t co asvee9nckz,en,bully,0
348,356,2020-01-30 23:14:06+00:00,was anybody expecting sekulow finish christopher steele engaged long pause ivanka trump conspiracytheories,en,bully,0
350,358,2020-01-30 23:13:41+00:00,first all gop decided they trump s pocket but trial changed presidence president s counsel watch change i pray impeach him but counsel nixon longer impeached https t co dp4xnu5kqo,en,bully,0
354,362,2020-01-30 23:13:19+00:00, skoltodabowl franklin_graham oh i attempt work day day i putting forward holy man god like frankie amp cult trump ,en,bully,0
357,365,2020-01-30 23:13:06+00:00, ajbyrd49 realdonaldtrump pam_sands mine i know handful won t lately evil deception left come deception party changing minds to trump praise god,en,bully,0
363,371,2020-01-30 23:12:20+00:00, anthonyhegler again agree anthony t prove wrong you 45 attempts 45 presidents you 1 impeachment 1 half impeachment current going on if american people don t attack trump better it ,en,bully,0
364,372,2020-01-30 23:12:20+00:00, joyvbehar you come today playing phone really dershowitz smarter be dershowitz not demorat won t vote removing trump the senate vote trump removed ,en,bully,0
366,375,2020-01-30 23:12:05+00:00,they re certainly lot smarter trump if can t wall underneath it remember donnie they re criminals like you https t co wcqojjxul3 https t co iw4lqwapy1,en,bully,0
367,376,2020-01-30 23:11:56+00:00, lisamurkowski i pray moral guidance don t let trump tear down grandson needs good country grow watching president lie 17 000 times what pathetic role model,en,bully,0
368,377,2020-01-30 23:11:30+00:00, senatorcollins nobody tried portray president trump perfect human being the man makes share gaffes however many americans who like me respect effected good country shampeachment,en,bully,0
373,382,2020-01-30 23:10:50+00:00, lindseygrahamsc y all blocking witnesses documents y all vote hunter biden u want but y all cover bc you ll exposed trump it s sham ,en,bully,0
375,384,2020-01-30 23:10:42+00:00,this sham trumpimpeachmenttrial literally making sick listening bold face lies senate floor lawyers less sad reflection state union we need clean house 2020 trump lackeys go his lawyers sb disbarred,en,bully,0
376,385,2020-01-30 23:10:40+00:00, senmcsallyaz you re disgrace trump hack,en,bully,0
378,387,2020-01-30 23:09:46+00:00, josephabondy can t ask questions trump s lawyers ask trump trial ,en,bully,1
379,388,2020-01-30 23:09:40+00:00, lmo66olson randpaul can time stop trump attention whore favor act like man adult when longer useful trump know ,en,bully,0
380,389,2020-01-30 23:09:16+00:00, trump lawyer alan dershowitz argues trump wants reelected believes anoth topbuzz https t co kawegpxwgb really sad one of america gifted law professor alan dershowitz lost his mind pray for alan dershowitz that he gets some help ,en,bully,0
381,390,2020-01-30 23:09:10+00:00, alandersh but it s ok trump doesn t like he s president ,en,bully,0
382,391,2020-01-30 23:08:40+00:00, presidementia michigan today to surprise trump claims man year michigan old tape happened you want fact check rally speech it s nj ky la rallies https t co euiqdydeaf,en,bully,0
383,392,2020-01-30 23:08:29+00:00, alandersh i sort hoped enlighten donald trump instead clearly taught use style logic does kind power you is makes nervous is turned blathering idiot ,en,bully,0
384,393,2020-01-30 23:08:21+00:00, ragdolls1227 you need read damn bible don t snitch tweet trump cult member fake ass christian real christians support trump now fake ass hell mentions before i cuss ass send bible verses embarrass ass ,en,bully,0
386,395,2020-01-30 23:08:11+00:00, davidoatkins has grown though what bernie 1972 wouldn t today hasn t basically said trump ,en,bully,0
387,396,2020-01-30 23:08:05+00:00, jaysekulow your baseless arguments trump crimes impeachable or indictable you read you corruption looks like it payoff https t co fxhb0k5tcu,en,bully,0
389,398,2020-01-30 23:07:46+00:00,i m missouri i m donating i spare effort vote out sal and lots people lots states same you think loudly yelling trump that save you hahahaha nope https t co ycx0ey3efh,en,bully,0
